flow,hs_code,description,first_period,last_period,family_code,family_name,enclosing_family_name,enclosing_source,therapeutic_class,source,confidence,why,added_on
imports,3004500013,"Medicaments cont multivitamins not mixed with other suppl,for hum use,in dosage",201201,201612,3004500019,"Other medicaments cont vitamins and their derivs, for human use, in dosage,nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004500014,"Medi,cont multivitamins,mix w o suppl,f human use,doses/frs,o/t No 30.02/05/06",201201,202606,3004500019,"Other medicaments cont vitamins and their derivs, for human use, in dosage,nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004500031,"Vitamin C only, for human use, in dosage",199801,201112,3004500039,"Single vitamin only, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004500032,"Vitamin E only, for human use, in dosage",199801,201112,3004500039,"Single vitamin only, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004500050,"Multivitamins not mixed with o supplements, for human use, in dosage",199801,200112,,Vitamins,,,multivitamin preparation,"asserted, unsourced",high,not a single substance,2026-08-12
imports,3004500061,"Vitamins-iron preparation, for human use, in dosage",199801,201112,3004500069,"Multivitamins mixed with other supplements, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004509911,"Vitamin C only, for human use, in dosage",198801,199712,3004509919,"Single vitamin only, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004509912,"Vitamin E only, for human use, in dosage",198801,199712,3004509919,"Single vitamin only, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004509920,"Single vitamin mixed w o supplements, for human use, in dosage",199001,199712,,,,,,derived from the tariff block,n/a,"this code's block holds no leftover line its trade could reach, so none is named",2026-08-12
imports,3004509921,"Vitamins-iron preparation, for human use, in dosage",198801,198912,3004509929,"Multivitamins mixed with other supplements, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004509922,"Multivitamins not mixed with o supplements, for human use, in dosage",198801,198912,3004509929,"Multivitamins mixed with other supplements, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004509930,"Vitamins & their derivs,nes,for vet use, in dosage",198801,198912,,Vitamins,,,multivitamin preparation,"asserted, unsourced",high,not a single substance,2026-08-12
imports,3004509941,"Vitamins-iron preparation, for human use, in dosage",199001,199712,3004509949,"Multivitamins mixed with other supplements, nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004900012,"Dextrose (glucose) solutions, in dosage",199801,200112,3004900011,"Mixtures of amino acids, nes, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004900021,"Medi cont cannabis/cannabinoids, therap/prophltc uses, doses/pack f retail sale",201804,202606,,,,,,derived from the tariff block,n/a,"this code's block holds no leftover line its trade could reach, so none is named",2026-08-12
imports,3004900022,"Analgesics, for human use, in doses/packings for retail sale, o/t No 30.02/05/06",201801,202606,,,,,,derived from the tariff block,n/a,"this code's block holds no leftover line its trade could reach, so none is named",2026-08-12
imports,3004900023,"Antidepressants & tranquilizers,f human use,in doses/pack frs,o/t No 30.02/05/06",201801,202606,,,,,,derived from the tariff block,n/a,"this code's block holds no leftover line its trade could reach, so none is named",2026-08-12
imports,3004900024,"Antihypertensive agents, for human use, in doses/packings frs,o/t No 30.02/05/06",201801,202606,,,,,,derived from the tariff block,n/a,"this code's block holds no leftover line its trade could reach, so none is named",2026-08-12
imports,3004900025,"Antihistaminic agents, for human use, in doses/packings frs, o/t No 30.02/05/06",201801,202606,,,,,,derived from the tariff block,n/a,"this code's block holds no leftover line its trade could reach, so none is named",2026-08-12
imports,3004900026,"Agents,acting on central nervous system,hum use,doses/frs,o/t No 30.02/05/06,nes",201801,202606,,,,,,derived from the tariff block,n/a,"this code's block holds no leftover line its trade could reach, so none is named",2026-08-12
imports,3004900027,"Local anaesthetics, for human use,in doses/pack f retail sale,o/t No 30.02/05/06",201801,202606,,,,,,derived from the tariff block,n/a,"this code's block holds no leftover line its trade could reach, so none is named",2026-08-12
imports,3004900029,"Medi,acting on central nervous system,human use,doses/frs,o/t No 30.02/05/06,nes",201801,202606,,,,,,derived from the tariff block,n/a,"this code's block holds no leftover line its trade could reach, so none is named",2026-08-12
imports,3004900031,"Analgesics, for human use, in dosage",199801,201612,3004900035,"Medicaments, for human use, acting on the nervous system, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004900032,"Antidepressants & tranquilizers, for human use, in dosage",199801,200112,3004900035,"Medicaments, for human use, acting on the nervous system, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004900033,"Antihypertensive agents, for human use, in dosage",199801,201612,3004900035,"Medicaments, for human use, acting on the nervous system, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004900034,"Antihistamines agents, for human use, in dosage",199801,201612,3004900035,"Medicaments, for human use, acting on the nervous system, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004900036,"Local anaesthetics, for human use, in dosage",199801,201612,3004900035,"Medicaments, for human use, acting on the nervous system, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004900041,"Histamine H2 receptor antagonist, for human use, in dosage",199801,201112,3004900049,"Gastro-intestinal agents, for human use, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004900042,"Laxatives, for human use, in dosage",199801,201612,3004900049,"Gastro-intestinal agents, for human use, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004900043,"Antacids, for human use, in dosage",199801,201612,3004900049,"Gastro-intestinal agents, for human use, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004900061,"Anti-infective agents, cont sulfonamides, for human use, in dosage",199801,201612,3004900069,"Anti-infective agents, for human use, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004900071,"Haematological agents, for human use, in dosage",199801,201612,3004900079,"Medicaments nes, for human use, in dosage",,,,derived from the tariff block,n/a,the most general leftover line open in this code's own era names the family it belongs to,2026-08-12
imports,3004900072,"Antineoplastic agents, for human use, in dosage",199801,201612,3004900079,"Medicaments nes, for human use, in dosage",,,,derived from the tariff block,n/a,the most general leftover line open in this code's own era names the family it belongs to,2026-08-12
imports,3004900073,"Cough or cold preparations, for human use, in dosage",199801,201612,3004900074,"Medicaments, prim affecting eyes,ears & respiratory system,human use, in dos,nes","Medicaments nes, for human use, in dosage",derived from the tariff block,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004900075,"Diuretics, for human use, in dosage",199801,201612,3004900079,"Medicaments nes, for human use, in dosage",,,,derived from the tariff block,n/a,the most general leftover line open in this code's own era names the family it belongs to,2026-08-12
imports,3004900076,"Medicaments affecting electrolytic, caloric/water balance, for human use, in dos",199801,201112,3004900079,"Medicaments nes, for human use, in dosage",,,,derived from the tariff block,n/a,the most general leftover line open in this code's own era names the family it belongs to,2026-08-12
imports,3004900077,"Dermatological agents, for human use, in dosage",199801,201612,3004900079,"Medicaments nes, for human use, in dosage",,,,derived from the tariff block,n/a,the most general leftover line open in this code's own era names the family it belongs to,2026-08-12
imports,3004900078,"Medicaments cont hyaluronic acid or its sodium salt, for human use, in dosage",199801,201612,3004900079,"Medicaments nes, for human use, in dosage",,,,derived from the tariff block,n/a,the most general leftover line open in this code's own era names the family it belongs to,2026-08-12
imports,3004900081,"Anaesthetic, for veterinary use, in dosage",199801,201112,3004900089,"Medicaments nes, for veterinary use, in dosage",,,anaesthetic,"derived from the tariff block (family) + asserted, unsourced (class)",high,the leftover line sharing this code's tens block names the family it belongs to | class asserted: the later form of the anaesthetic line,2026-08-12
imports,3004900089,"Medicaments nes, for veterinary use, in dosage",199801,200112,,"Medicaments nes, veterinary",,,unspecified,"asserted, unsourced",high,the leftover line itself,2026-08-12
imports,3004909911,"Analgesics, for human use, in dosage",198801,199712,3004909915,"Medicaments, for human use, acting on the nervous system, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004909912,"Antidepressants & tranquilizers, for human use, in dosage",198801,199712,3004909915,"Medicaments, for human use, acting on the nervous system, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004909913,"Antihypertensive agents, for human use, in dosage",198801,199712,3004909915,"Medicaments, for human use, acting on the nervous system, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004909914,"Antihistamines agents, for human use, in dosage",198801,199712,3004909915,"Medicaments, for human use, acting on the nervous system, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004909916,"Local anaesthetics, for human use, in dosage",199004,199712,3004909915,"Medicaments, for human use, acting on the nervous system, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004909921,"Histamine H2 receptor antagonist, for human use, in dosage",198801,199712,3004909929,"Gastro-intestinal agents, for human use, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004909922,"Laxatives, for human use, in dosage",199001,199712,3004909929,"Gastro-intestinal agents, for human use, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004909923,"Antacids, for human use, in dosage",199001,199712,3004909929,"Gastro-intestinal agents, for human use, in dosage, nes",,,antacid / gastro-intestinal,"derived from the tariff block (family) + asserted, unsourced (class)",medium,the leftover line sharing this code's tens block names the family it belongs to | class asserted: no citable source offline,2026-08-12
imports,3004909940,"Anti-infective agents, for human use, in dosage",198801,198912,3004909949,"Anti-infective agents, for human use, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004909941,"Anti-infective agents, containing sulfonamides, for human use, in dosage",199001,199712,3004909949,"Anti-infective agents, for human use, in dosage, nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004909971,"Cough/cold preparations, for human use, in dosage",199001,199712,3004909979,"Medicaments, prim affecting eyes,ears & respiratory system,human use, in dos,nes",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004909981,"Diuretics, for human use, in dosage",198801,199712,3004909989,"Medicaments nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004909982,"Medicaments affecting electrolytic, caloric/water balance, for human use, in dos",198801,199712,3004909989,"Medicaments nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004909983,"Dermatological agents, for human use, in dosage",199001,199712,3004909989,"Medicaments nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004909984,"Medicaments cont hyaluronic acid or its sodium salt, for human use, in dosage",199001,199712,3004909989,"Medicaments nes, for human use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004909991,"Anaesthetic, for veterinary use, in dosage",198801,199712,3004909999,"Medicaments nes, for veterinary use, in dosage",,,anaesthetic,"derived from the tariff block (family) + asserted, unsourced (class)",high,the leftover line sharing this code's tens block names the family it belongs to | class asserted: an anaesthetic abolishes sensation; distinct from a sedative,2026-08-12
imports,3004909992,"Coccidiostats, in dosage",198801,199106,3004909999,"Medicaments nes, for veterinary use, in dosage",,,,derived from the tariff block,n/a,the leftover line sharing this code's tens block names the family it belongs to,2026-08-12
imports,3004909993,"Tranquilizers, for veterinary use, in dosage",198803,199106,3004909999,"Medicaments nes, for veterinary use, in dosage",,,sedative / tranquilliser,"derived from the tariff block (family) + asserted, unsourced (class)",high,the leftover line sharing this code's tens block names the family it belongs to | class asserted: tranquillisers act on the central nervous system to sedate,2026-08-12
imports,3006600011,"Contraceptive prep, cont norethesterone acetate & ethinylestradiol, in dosage",198801,201111,3006600019,"Contraceptive prep based on hormones,o prod of 29.37/spermicides,in dosage,nes",,,,derived from the tariff block,n/a,the most general leftover line open in this code's own era names the family it belongs to,2026-08-12
imports,3006809010,Waste pharmaceuticals of the goods of heading 30.01,200201,200510,,Waste pharmaceuticals,,,"waste, from heading 30.01","asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3006809020,Waste pharmaceuticals of the goods of heading 30.02,200407,200511,,Waste pharmaceuticals,,,"waste, from heading 30.02","asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3006809030,Waste pharmaceuticals of the goods of heading 30.03,200202,200501,,Waste pharmaceuticals,,,"waste, from heading 30.03","asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3006809041,Waste pharmaceuticals of the goods of subheadings 3004.10 to 3004.39,200306,200610,,Waste pharmaceuticals,,,"waste, from subheadings 3004.10 to 3004.39","asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3006809042,Waste pharmaceuticals of the goods of subheadings 3004.40 or 3004.50,200312,200604,,Waste pharmaceuticals,,,"waste, from subheadings 3004.40 or 3004.50","asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3006809043,Waste pharmaceuticals of the goods of subheading 3004.90,200205,200508,,Waste pharmaceuticals,,,"waste, from subheading 3004.90","asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
imports,3006809050,Waste pharmaceuticals of the goods of heading 30.05,200204,200612,,Waste pharmaceuticals,,,"waste, from heading 30.05","asserted, unsourced",high,asserted from pharmacological knowledge; no citable source was available offline,2026-08-12
