link_id,decision,decided_on,decided_on_basis,decided_on_source,changed_after_first_entry
imports:3006.20.10.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3006.20.20.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3006.20.90.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3006.30.10.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3006.30.91.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3006.30.99.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3006.40.10.10:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3006.40.10.20:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3006.40.20.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3006.40.90.00:1997-12,accept,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",5300b7a51,no
imports:3006.80.90.41:2006-10,second,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",d8af79eaa,no
imports:3006.80.90.42:2006-04,second,2026-08-12,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",b19323537,no
exports:3003.41.00:2020-09,reject,2026-08-13,the author date of the commit that last CHANGED this decision; the earlier value is not the decision the crosswalk carries,4ad5fff93,yes
exports:3004.43.00:2022-03,reject,2026-08-13,the author date of the commit that last CHANGED this decision; the earlier value is not the decision the crosswalk carries,4ad5fff93,yes
exports:3004.90.00:2017-12,second,2026-08-13,the author date of the commit that last CHANGED this decision; the earlier value is not the decision the crosswalk carries,4ad5fff93,yes
exports:3006.80.00:2006-12,accept,2026-08-13,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",4ad5fff93,no
imports:3003.42.00.00:2024-01,reject,2026-08-13,the author date of the commit that last CHANGED this decision; the earlier value is not the decision the crosswalk carries,4ad5fff93,yes
imports:3006.80.11.00:2006-12,reject,2026-08-13,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",4ad5fff93,no
imports:3006.80.19.00:2006-12,reject,2026-08-13,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",4ad5fff93,no
imports:3006.80.90.10:2005-10,reject,2026-08-13,the author date of the commit that last CHANGED this decision; the earlier value is not the decision the crosswalk carries,4ad5fff93,yes
imports:3006.80.90.20:2005-11,reject,2026-08-13,the author date of the commit that last CHANGED this decision; the earlier value is not the decision the crosswalk carries,4ad5fff93,yes
imports:3006.80.90.30:2005-01,reject,2026-08-13,the author date of the commit that last CHANGED this decision; the earlier value is not the decision the crosswalk carries,4ad5fff93,yes
imports:3006.80.90.43:2005-08,reject,2026-08-13,the author date of the commit that last CHANGED this decision; the earlier value is not the decision the crosswalk carries,4ad5fff93,yes
imports:3006.80.90.50:2006-12,accept,2026-08-13,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",4ad5fff93,no
imports:3006.80.90.60:2006-12,accept,2026-08-13,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",4ad5fff93,no
exports:3002.10.00:2016-12,accept,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",f3cd302c3,no
exports:3002.19.00:2021-12,unresolved,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",23c7ba9fd,no
exports:3002.20.00:2021-12,accept,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",f3cd302c3,no
exports:3002.30.00:2021-12,accept,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",f3cd302c3,no
exports:3003.40.00:2016-11,accept,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",f3cd302c3,no
exports:3004.40.00:2016-12,accept,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",f3cd302c3,no
exports:3006.20.00:2021-12,reject,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",f3cd302c3,no
imports:3001.10.00.10:2006-12,accept,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",14c31abcf,no
imports:3001.10.00.90:2006-12,accept,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",14c31abcf,no
imports:3002.11.00.00:2021-12,reject,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",f3cd302c3,no
imports:3002.19.00.00:2021-12,unresolved,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",23c7ba9fd,no
imports:3002.20.00.10:2021-12,accept,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",f3cd302c3,no
imports:3002.20.00.90:2021-12,reject,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",14c31abcf,no
imports:3002.30.00.10:2021-12,accept,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",f3cd302c3,no
imports:3002.30.00.90:2021-12,accept,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",f3cd302c3,no
imports:3004.32.00.89:2001-12,reject,2026-08-14,the author date of the commit that last CHANGED this decision; the earlier value is not the decision the crosswalk carries,14c31abcf,yes
imports:3006.20.00.20:2021-12,reject,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",f3cd302c3,no
imports:3006.20.00.90:2021-12,reject,2026-08-14,"the author date of the first commit recording this decision in inspire2_v2; the day it entered the record, not necessarily the day it was taken",f3cd302c3,no
